ID,Revenu (€),Montant du Prêt (€),Durée de l'Emploi (années),Historique de Crédit,Prêt Approuvé
4750,1906,9641,6,Mauvais,Non
4751,4344,14170,10,Bon,Non
4752,2315,2491,3,Bon,Oui
4753,4739,17085,1,Bon,Non
4754,1588,16291,7,Bon,Non
4755,3945,11075,2,Bon,Non
4756,2294,2649,7,Mauvais,Non
4757,3683,7120,4,Bon,Oui
4758,2468,3754,7,Bon,Oui
4759,1672,3382,10,Bon,Non
4760,3496,14550,8,Bon,Non
4761,3035,15457,1,Mauvais,Non
4762,2026,4287,6,Mauvais,Non
4763,3539,12225,3,Bon,Non
4764,3613,12666,5,Bon,Non
4765,3928,15124,9,Bon,Non
4766,3664,4513,5,Mauvais,Non
4767,1506,16030,9,Mauvais,Non
4768,4160,3099,3,Mauvais,Non
4769,4923,4981,2,Mauvais,Non
4770,4448,4809,4,Bon,Oui
4771,2859,5223,3,Bon,Oui
4772,3851,13701,2,Mauvais,Non
4773,1725,11809,2,Bon,Non
4774,4341,17980,4,Bon,Non
4775,4721,14756,10,Bon,Non
4776,2864,12531,1,Bon,Non
4777,3381,5524,10,Bon,Oui
4778,2801,13072,6,Mauvais,Non
4779,4303,7402,7,Mauvais,Non
4780,3343,9803,6,Mauvais,Non
4781,1613,11439,9,Mauvais,Non
4782,1895,8319,6,Mauvais,Non
4783,2991,17132,5,Bon,Non
4784,4914,7532,5,Bon,Oui
4785,3652,7599,2,Bon,Non
4786,3560,19638,9,Bon,Non
4787,2771,4637,5,Bon,Oui
4788,1989,15376,9,Bon,Non
4789,4487,9167,3,Mauvais,Non
4790,3177,3802,10,Mauvais,Non
4791,1749,4929,5,Mauvais,Non
4792,2483,16792,10,Mauvais,Non
4793,1958,10338,9,Bon,Non
4794,2398,3225,3,Mauvais,Non
4795,2068,16056,3,Bon,Non
4796,3892,10344,4,Mauvais,Non
4797,3517,13346,2,Mauvais,Non
4798,2373,15879,10,Bon,Non
4799,1609,14732,7,Mauvais,Non
4800,3044,5563,10,Bon,Oui
4801,2047,15475,2,Mauvais,Non
4802,1892,11169,3,Bon,Non
4803,2095,4203,7,Bon,Non
4804,4027,9207,10,Mauvais,Non
4805,1843,8083,9,Bon,Non
4806,4970,14109,10,Mauvais,Non
4807,3286,17009,7,Mauvais,Non
4808,3805,10675,8,Mauvais,Non
4809,3613,7191,2,Mauvais,Non
4810,2985,3950,1,Mauvais,Non
4811,4357,3325,1,Bon,Oui
4812,3310,15864,7,Mauvais,Non
4813,1821,15937,6,Bon,Non
4814,2050,16473,8,Bon,Non
4815,4900,16957,2,Bon,Non
4816,1724,18815,8,Bon,Non
4817,4200,18753,8,Bon,Non
4818,3229,2652,8,Bon,Oui
4819,3910,9917,3,Bon,Non
4820,1858,9453,10,Mauvais,Non
4821,2642,4638,5,Mauvais,Non
4822,4173,18571,7,Bon,Non
4823,3854,12025,10,Mauvais,Non
4824,2805,15146,1,Mauvais,Non
4825,4478,12080,2,Bon,Non
4826,1898,16423,1,Mauvais,Non
4827,3022,8220,9,Mauvais,Non
4828,4868,10517,6,Mauvais,Non
4829,3066,18234,1,Bon,Non
4830,3143,16592,10,Mauvais,Non
4831,3779,4573,8,Bon,Oui
4832,1552,10178,6,Mauvais,Non
4833,3844,14188,1,Mauvais,Non
4834,2432,3113,9,Mauvais,Non
4835,4322,15060,8,Mauvais,Non
4836,3552,16273,8,Bon,Non
4837,3229,13683,1,Mauvais,Non
4838,4984,4991,5,Mauvais,Non
4839,2619,13659,5,Bon,Non
4840,2938,7046,1,Bon,Non
4841,4180,6056,2,Mauvais,Non
4842,4633,4379,4,Mauvais,Non
4843,4695,6929,6,Mauvais,Non
4844,2410,19712,6,Bon,Non
4845,3833,14746,7,Mauvais,Non
4846,2974,6752,5,Bon,Non
4847,2628,15811,5,Mauvais,Non
4848,4811,9831,9,Mauvais,Non
4849,1772,2055,9,Mauvais,Non
4850,4122,7715,2,Mauvais,Non
4851,3378,7491,6,Bon,Non
4852,2529,16336,5,Bon,Non
4853,2339,14405,4,Bon,Non
4854,4131,15373,1,Mauvais,Non
4855,1514,4127,8,Mauvais,Non
4856,4000,11763,1,Bon,Non
4857,2217,10415,5,Bon,Non
4858,4670,6594,3,Bon,Oui
4859,2824,4194,7,Bon,Oui
4860,2467,2408,2,Bon,Oui
4861,1630,11723,9,Bon,Non
4862,2963,11529,10,Bon,Non
4863,3532,7295,2,Bon,Non
4864,4061,10346,4,Bon,Non
4865,1726,11553,10,Mauvais,Non
4866,4729,5579,10,Mauvais,Non
4867,2161,6922,9,Bon,Non
4868,3332,7765,7,Mauvais,Non
4869,4430,15329,10,Bon,Non
4870,3970,12086,3,Bon,Non
4871,4563,5454,3,Bon,Oui
4872,3558,7375,9,Mauvais,Non
4873,4284,15127,8,Mauvais,Non
4874,4572,16283,7,Bon,Non
4875,3860,14295,8,Bon,Non
4876,3040,15575,4,Bon,Non
4877,3793,12022,6,Mauvais,Non
4878,4022,7585,8,Bon,Oui
4879,1574,18021,2,Mauvais,Non
4880,2619,8022,7,Bon,Non
4881,4053,19321,8,Bon,Non
4882,2227,4857,1,Bon,Non
4883,3532,17760,1,Mauvais,Non
4884,3805,9777,6,Mauvais,Non
4885,2821,11929,9,Bon,Non
4886,3442,15827,9,Bon,Non
4887,2640,14971,4,Mauvais,Non
4888,2133,4550,1,Bon,Non
4889,2639,2476,7,Bon,Oui
4890,2785,9768,4,Bon,Non
4891,2264,14771,10,Mauvais,Non
4892,3753,15363,10,Bon,Non
4893,3330,7348,10,Mauvais,Non
4894,1672,5137,7,Mauvais,Non
4895,4633,17075,7,Bon,Non
4896,2070,19445,1,Bon,Non
4897,4086,10599,10,Mauvais,Non
4898,2744,17291,5,Bon,Non
4899,2082,18629,1,Bon,Non
4900,3772,17190,3,Bon,Non
4901,2346,14380,4,Mauvais,Non
4902,2701,2117,4,Bon,Oui
4903,1661,13600,9,Mauvais,Non
4904,3106,16656,7,Mauvais,Non
4905,3728,18131,2,Bon,Non
4906,2298,10128,9,Bon,Non
4907,3986,12095,7,Mauvais,Non
4908,3814,12978,7,Bon,Non
4909,3364,11561,10,Mauvais,Non
4910,4489,8829,1,Bon,Oui
4911,4837,19617,8,Mauvais,Non
4912,4578,15834,7,Mauvais,Non
4913,1559,18401,9,Mauvais,Non
4914,2179,18899,9,Bon,Non
4915,1731,6901,4,Mauvais,Non
4916,3584,2269,9,Mauvais,Non
4917,1668,3720,5,Mauvais,Non
4918,2483,18128,8,Mauvais,Non
4919,4431,7246,2,Bon,Oui
4920,4244,16430,1,Bon,Non
4921,4804,19910,5,Bon,Non
4922,3247,10998,1,Mauvais,Non
4923,2737,16692,1,Mauvais,Non
4924,3479,17090,6,Mauvais,Non
4925,3079,16390,5,Bon,Non
4926,4490,11612,1,Bon,Non
4927,3266,3785,9,Mauvais,Non
4928,3551,9858,1,Bon,Non
4929,1912,5034,10,Bon,Non
4930,1604,7207,4,Bon,Non
4931,4761,15356,3,Bon,Non
4932,3067,18126,1,Bon,Non
4933,4295,8050,10,Bon,Oui
4934,3899,13267,6,Bon,Non
4935,2276,10092,6,Bon,Non
4936,4914,15349,6,Mauvais,Non
4937,4038,17867,2,Mauvais,Non
4938,4275,19511,5,Bon,Non
4939,1867,8557,4,Mauvais,Non
4940,2111,18818,4,Bon,Non
4941,4818,9190,3,Mauvais,Non
4942,1987,8715,2,Mauvais,Non
4943,1756,9276,6,Mauvais,Non
4944,4167,15391,4,Bon,Non
4945,4123,3780,5,Bon,Oui
4946,4669,5601,2,Mauvais,Non
4947,2025,3318,6,Bon,Oui
4948,4041,16949,1,Mauvais,Non
4949,4742,17643,7,Mauvais,Non
4950,4969,11484,1,Mauvais,Non
4951,3872,15571,7,Mauvais,Non
4952,4717,14375,2,Bon,Non
4953,3331,16271,10,Mauvais,Non
4954,4501,4965,10,Bon,Oui
4955,1524,7473,8,Mauvais,Non
4956,2418,5544,1,Bon,Non
4957,2001,11249,10,Mauvais,Non
4958,4640,8593,4,Mauvais,Non
4959,3518,12116,2,Bon,Non
4960,3584,10581,1,Bon,Non
4961,3180,4228,9,Mauvais,Non
4962,1757,18780,4,Mauvais,Non
4963,2039,11453,4,Bon,Non
4964,4593,12926,2,Mauvais,Non
4965,3150,18704,4,Mauvais,Non
4966,2016,7189,5,Mauvais,Non
4967,3551,6081,4,Bon,Oui
4968,3962,13041,7,Mauvais,Non
4969,4236,2670,7,Mauvais,Non
4970,4920,18047,9,Mauvais,Non
4971,2614,12312,6,Bon,Non
4972,4556,7091,9,Mauvais,Non
4973,1806,7162,7,Bon,Non
4974,2146,11944,7,Bon,Non
4975,3766,3337,6,Mauvais,Non
4976,2820,11216,6,Bon,Non
4977,4629,8936,10,Mauvais,Non
4978,2695,13478,9,Mauvais,Non
4979,4138,13748,8,Bon,Non
4980,3065,12426,6,Mauvais,Non
4981,1573,6073,8,Bon,Non
4982,2830,11995,8,Bon,Non
4983,1889,4104,2,Mauvais,Non
4984,2003,5427,8,Bon,Non
4985,2453,18709,8,Bon,Non
4986,4808,5748,9,Mauvais,Non
4987,2409,13359,3,Bon,Non
4988,3153,13422,2,Bon,Non
4989,3855,2711,7,Bon,Oui
4990,2035,10210,4,Mauvais,Non
4991,1771,13241,9,Mauvais,Non
4992,4627,10767,8,Mauvais,Non
4993,1658,4144,7,Bon,Non
4994,1781,7505,4,Mauvais,Non
4995,4993,13670,6,Mauvais,Non
4996,1847,7390,1,Mauvais,Non
4997,4378,7954,3,Bon,Oui
4998,2317,13741,8,Mauvais,Non
4999,4085,10331,6,Mauvais,Non
5000,4037,5039,7,Mauvais,Non
5001,4152,11142,2,Mauvais,Non
5002,3225,8633,8,Bon,Non
5003,4377,11199,6,Mauvais,Non
5004,4904,17575,6,Bon,Non
5005,4294,3820,3,Mauvais,Non
5006,4639,7370,1,Bon,Oui
5007,3738,4085,8,Bon,Oui
5008,3087,12639,9,Mauvais,Non
5009,4502,10865,5,Mauvais,Non
5010,3932,7085,3,Mauvais,Non
5011,3498,4662,5,Bon,Oui
5012,1555,10242,1,Bon,Non
5013,3587,3530,10,Mauvais,Non
5014,4104,8746,8,Mauvais,Non
5015,4583,15904,9,Mauvais,Non
5016,4548,10251,3,Bon,Non
5017,2754,15242,10,Bon,Non
5018,2262,16776,6,Mauvais,Non
5019,2059,2688,3,Bon,Oui
5020,2179,15431,4,Bon,Non
5021,4546,15321,2,Bon,Non
5022,4275,16270,6,Bon,Non
5023,4366,9400,5,Mauvais,Non
5024,4846,10425,10,Mauvais,Non
5025,2666,8446,6,Mauvais,Non
5026,4673,12508,9,Bon,Non
5027,4772,6941,8,Mauvais,Non
5028,4255,6653,2,Mauvais,Non
5029,3374,12881,3,Bon,Non
5030,4472,16020,10,Bon,Non
5031,1964,16128,8,Bon,Non
5032,4337,3372,5,Bon,Oui
5033,4003,16097,5,Bon,Non
5034,2096,19149,3,Bon,Non
5035,3666,10960,7,Bon,Non
5036,4734,6860,5,Bon,Oui
5037,4435,6028,8,Mauvais,Non
5038,1665,17995,6,Bon,Non
5039,4971,2611,4,Mauvais,Non
5040,3576,19807,3,Bon,Non
5041,3808,10446,6,Mauvais,Non
5042,4287,10712,4,Bon,Non
5043,2116,17879,2,Bon,Non
5044,1548,12193,1,Bon,Non
5045,1595,13667,2,Mauvais,Non
5046,2051,4754,1,Bon,Non
5047,4005,17553,8,Bon,Non
5048,1724,15730,5,Mauvais,Non
5049,3578,7850,10,Bon,Non
5050,2087,7053,7,Bon,Non
5051,4816,16476,6,Mauvais,Non
5052,2264,5886,1,Bon,Non
5053,3905,9765,5,Bon,Non
5054,4931,4647,9,Mauvais,Non
5055,2337,7566,9,Bon,Non
5056,1943,14583,3,Bon,Non
5057,4360,9122,6,Bon,Non
5058,3596,14378,10,Mauvais,Non
5059,3131,14979,10,Bon,Non
5060,4747,4380,3,Bon,Oui
5061,4962,15283,6,Mauvais,Non
5062,2110,14165,7,Bon,Non
5063,1923,4085,1,Mauvais,Non
5064,2269,14649,9,Bon,Non
5065,4618,7956,5,Mauvais,Non
5066,1980,8839,9,Mauvais,Non
5067,3826,8354,8,Bon,Non
5068,3660,6334,4,Mauvais,Non
5069,4519,13536,7,Mauvais,Non
5070,2756,5020,8,Bon,Oui
5071,2950,12929,4,Mauvais,Non
5072,4382,19298,4,Bon,Non
5073,1839,13688,8,Mauvais,Non
5074,4200,18085,6,Mauvais,Non
5075,2601,14127,7,Bon,Non
5076,1645,7262,5,Bon,Non
5077,4376,17020,4,Mauvais,Non
5078,3755,2251,3,Mauvais,Non
5079,4354,10242,3,Bon,Non
5080,1587,14843,10,Bon,Non
5081,2665,15525,9,Bon,Non
5082,3871,15856,7,Bon,Non
5083,4956,11239,6,Mauvais,Non
5084,2824,6803,3,Bon,Non
5085,1510,18331,4,Mauvais,Non
5086,2287,14923,7,Mauvais,Non
5087,2315,15667,9,Mauvais,Non
5088,1927,12885,10,Bon,Non
5089,3117,14299,5,Mauvais,Non
5090,1569,16252,6,Mauvais,Non
5091,1520,17194,4,Bon,Non
5092,4938,11216,4,Bon,Non
5093,4670,2850,4,Bon,Oui
5094,2054,5462,6,Mauvais,Non
5095,3462,10982,2,Bon,Non
5096,4932,7427,9,Mauvais,Non
5097,4582,17149,6,Mauvais,Non
5098,3783,5492,5,Bon,Oui
5099,1853,4601,7,Mauvais,Non
5100,4507,18157,7,Bon,Non
5101,2614,14678,9,Mauvais,Non
5102,4285,19407,7,Mauvais,Non
5103,4330,2882,10,Bon,Oui
5104,3567,9323,10,Mauvais,Non
5105,3734,11095,6,Mauvais,Non
5106,3566,8103,5,Bon,Non
5107,3211,18441,6,Mauvais,Non
5108,1705,17225,4,Mauvais,Non
5109,1960,15179,3,Mauvais,Non
5110,4983,18629,4,Mauvais,Non
5111,3674,15193,1,Mauvais,Non
5112,1708,6656,2,Mauvais,Non
5113,3731,15173,9,Bon,Non
5114,3378,18363,2,Mauvais,Non
5115,4887,2619,10,Bon,Oui
5116,2295,8633,6,Mauvais,Non
5117,4815,7480,9,Mauvais,Non
5118,2381,10229,10,Bon,Non
5119,3120,16769,5,Mauvais,Non
5120,3742,2445,1,Bon,Oui
5121,3586,9845,3,Mauvais,Non
5122,2334,8765,3,Mauvais,Non
5123,3998,14556,4,Bon,Non
5124,1906,12563,10,Bon,Non
5125,1915,17415,2,Mauvais,Non
5126,4126,4538,5,Mauvais,Non
5127,3776,6294,6,Mauvais,Non
5128,3271,11221,9,Mauvais,Non
5129,4845,10984,2,Mauvais,Non
5130,4872,18768,3,Bon,Non
5131,1860,5171,4,Bon,Non
5132,3859,11971,1,Bon,Non
5133,4479,9091,4,Mauvais,Non
5134,3796,18353,1,Bon,Non
5135,4833,13010,1,Bon,Non
5136,3268,13928,1,Bon,Non
5137,3990,17006,2,Mauvais,Non
5138,3357,13296,1,Mauvais,Non
5139,3440,18094,4,Mauvais,Non
5140,1875,11047,5,Bon,Non
5141,1547,19486,1,Mauvais,Non
5142,2080,16570,5,Bon,Non
5143,2972,8661,8,Bon,Non
5144,2997,5376,9,Bon,Oui
5145,2698,18367,8,Mauvais,Non
5146,4705,13375,4,Mauvais,Non
5147,4637,17770,8,Mauvais,Non
5148,2758,17058,3,Bon,Non
5149,4411,7236,1,Bon,Oui
5150,2538,15127,9,Mauvais,Non
5151,4784,4161,4,Bon,Oui
5152,1778,5086,6,Mauvais,Non
5153,4097,13418,10,Bon,Non
5154,2860,12891,9,Mauvais,Non
5155,2409,14074,3,Bon,Non
5156,3441,6747,9,Mauvais,Non
5157,2164,19134,4,Bon,Non
5158,2728,12666,1,Mauvais,Non
5159,3630,8397,9,Bon,Non
5160,3145,4031,5,Bon,Oui
5161,2152,2562,2,Bon,Oui
5162,4889,18021,5,Mauvais,Non
5163,2833,18917,10,Bon,Non
5164,2349,15851,8,Mauvais,Non
5165,1721,17669,4,Bon,Non
5166,2536,12307,7,Mauvais,Non
5167,4061,14427,8,Bon,Non
5168,3364,5635,3,Bon,Oui
5169,3318,17848,3,Bon,Non
5170,2848,11656,9,Mauvais,Non
5171,3062,14442,3,Mauvais,Non
5172,4927,14385,2,Mauvais,Non
5173,2553,17652,10,Bon,Non
5174,3571,6466,6,Mauvais,Non
5175,4538,14100,2,Bon,Non
5176,3613,5228,10,Mauvais,Non
5177,2204,17711,10,Bon,Non
5178,3646,16542,5,Bon,Non
5179,2138,9400,10,Mauvais,Non
5180,3620,9119,4,Bon,Non
5181,4049,12316,10,Bon,Non
5182,2361,4221,1,Mauvais,Non
5183,2569,13123,8,Mauvais,Non
5184,4833,5804,8,Mauvais,Non
5185,4962,2738,6,Mauvais,Non
5186,4511,18038,3,Mauvais,Non
5187,2315,8609,3,Mauvais,Non
5188,3670,18324,1,Mauvais,Non
5189,1633,17731,5,Mauvais,Non
5190,4734,16154,10,Mauvais,Non
5191,1966,8765,1,Bon,Non
5192,1577,15433,9,Mauvais,Non
5193,4078,15746,3,Mauvais,Non
5194,3702,15872,4,Mauvais,Non
5195,3703,4849,8,Bon,Oui
5196,2262,9743,10,Bon,Non
5197,2893,19782,7,Mauvais,Non
5198,3563,14009,2,Bon,Non
5199,3870,14720,6,Bon,Non
5200,2801,11737,5,Mauvais,Non
5201,2905,10903,2,Mauvais,Non
5202,4125,14706,7,Bon,Non
5203,3462,14664,10,Bon,Non
5204,3907,13984,8,Mauvais,Non
5205,3420,16568,10,Mauvais,Non
5206,3201,15747,6,Bon,Non
5207,4469,12588,2,Bon,Non
5208,4764,15254,9,Mauvais,Non
5209,2883,2599,5,Mauvais,Non
5210,3913,8422,2,Bon,Non
5211,1886,12974,1,Bon,Non
5212,4368,9927,5,Bon,Non
5213,4096,6636,10,Bon,Oui
5214,4382,19095,3,Bon,Non
5215,4641,9423,9,Bon,Non
5216,4424,10395,4,Bon,Non
5217,3664,19714,3,Mauvais,Non
5218,4223,4274,10,Bon,Oui
5219,2671,3078,9,Mauvais,Non
5220,2426,2209,1,Bon,Oui
5221,2643,17311,9,Mauvais,Non
5222,2372,7190,5,Mauvais,Non
5223,4753,10468,1,Mauvais,Non
5224,3430,15468,10,Bon,Non
5225,2851,2859,8,Bon,Oui
5226,1517,6483,4,Bon,Non
5227,3997,15865,1,Mauvais,Non
5228,2768,10000,4,Mauvais,Non
5229,1684,19018,1,Mauvais,Non
5230,4110,13580,10,Mauvais,Non
5231,3905,14041,7,Bon,Non
5232,3852,6484,10,Mauvais,Non
5233,4702,11289,9,Mauvais,Non
5234,3962,15001,6,Bon,Non
5235,3194,12987,1,Mauvais,Non
5236,3694,12446,7,Mauvais,Non
5237,2604,7837,4,Mauvais,Non
5238,4116,3337,10,Bon,Oui
5239,4194,14304,1,Mauvais,Non
5240,3057,9416,1,Bon,Non
5241,2975,14415,8,Mauvais,Non
5242,4045,6555,2,Bon,Oui
5243,2036,9127,9,Mauvais,Non
5244,2121,9867,10,Bon,Non
5245,4377,14295,3,Bon,Non
5246,3040,5477,2,Mauvais,Non
5247,4589,15213,9,Bon,Non
5248,2082,13948,4,Bon,Non
5249,2502,19841,4,Mauvais,Non
5250,2557,3670,3,Mauvais,Non
5251,4179,10332,1,Mauvais,Non
5252,2635,12077,6,Mauvais,Non
5253,4468,6814,3,Mauvais,Non
5254,3239,16085,9,Bon,Non
5255,2251,3124,4,Mauvais,Non
5256,2740,4809,5,Bon,Oui
5257,4877,15851,6,Mauvais,Non
5258,3090,3924,8,Mauvais,Non
5259,4246,6669,6,Bon,Oui
5260,4029,5863,3,Mauvais,Non
5261,4295,10128,9,Mauvais,Non
5262,4625,4126,2,Mauvais,Non
5263,4536,13462,5,Bon,Non
5264,2753,17803,3,Bon,Non
5265,4187,2079,9,Bon,Oui
5266,1644,4197,8,Mauvais,Non
5267,4327,3920,3,Mauvais,Non
5268,3936,19687,2,Mauvais,Non
5269,2653,19185,7,Mauvais,Non
5270,1934,18789,2,Bon,Non
5271,2542,12195,4,Bon,Non
5272,2094,19667,8,Mauvais,Non
5273,2266,17795,2,Bon,Non
5274,2809,8883,6,Mauvais,Non
5275,2120,8935,4,Mauvais,Non
5276,4248,6262,6,Bon,Oui
5277,4401,17124,4,Mauvais,Non
5278,1970,5915,3,Bon,Non
5279,1568,19703,2,Mauvais,Non
5280,4040,18092,7,Mauvais,Non
5281,4283,6503,10,Bon,Oui
5282,3137,9730,3,Mauvais,Non
5283,2351,17087,10,Bon,Non
5284,2325,8145,2,Bon,Non
5285,3659,3091,5,Bon,Oui
5286,4214,9046,1,Bon,Non
5287,3200,2312,5,Mauvais,Non
5288,3989,13590,10,Mauvais,Non
5289,2214,3631,10,Mauvais,Non
5290,4476,8689,2,Mauvais,Non
5291,2146,10019,9,Mauvais,Non
5292,1888,2122,10,Bon,Oui
5293,4996,10959,5,Mauvais,Non
5294,2747,16512,2,Bon,Non
5295,4411,15138,6,Mauvais,Non
5296,2754,18210,7,Mauvais,Non
5297,4170,5841,4,Bon,Oui
5298,2648,5940,4,Mauvais,Non
5299,4402,14368,10,Mauvais,Non
5300,1608,3665,8,Bon,Non
5301,3354,8788,1,Bon,Non
5302,3346,4309,2,Bon,Oui
5303,2029,18959,2,Mauvais,Non
5304,3269,17588,1,Mauvais,Non
5305,2854,7781,2,Bon,Non
5306,4828,19875,2,Bon,Non
5307,3396,18145,9,Mauvais,Non
5308,1643,13542,5,Mauvais,Non
5309,1718,3875,3,Mauvais,Non
5310,3272,9961,2,Mauvais,Non
5311,4414,19505,10,Bon,Non
5312,2506,17969,1,Mauvais,Non
5313,3784,3364,1,Mauvais,Non
5314,4646,16730,10,Mauvais,Non
5315,3904,16133,8,Mauvais,Non
5316,3743,10865,1,Mauvais,Non
5317,2667,6116,1,Bon,Non
5318,4189,2300,10,Bon,Oui
5319,4390,3872,9,Mauvais,Non
5320,2320,7843,5,Bon,Non
5321,3692,8264,1,Mauvais,Non
5322,4188,17182,7,Bon,Non
5323,1957,14475,2,Mauvais,Non
5324,2423,11366,9,Mauvais,Non
5325,3998,3811,6,Bon,Oui
5326,4003,16773,7,Mauvais,Non
5327,3376,17688,5,Bon,Non
5328,4784,9156,9,Mauvais,Non
5329,1705,2909,5,Mauvais,Non
5330,2520,14062,7,Mauvais,Non
5331,3374,4982,5,Mauvais,Non
5332,2289,6089,2,Bon,Non
5333,4879,8274,1,Bon,Oui
5334,3488,14002,7,Mauvais,Non
5335,1532,13052,1,Mauvais,Non
5336,1763,6027,1,Bon,Non
5337,2877,8166,8,Bon,Non
5338,2504,6052,2,Mauvais,Non
5339,1935,12148,4,Bon,Non
5340,3904,12751,9,Mauvais,Non
5341,4920,8788,7,Mauvais,Non
5342,2886,18841,3,Bon,Non
5343,2863,10534,2,Bon,Non
5344,3594,6645,6,Bon,Oui
5345,2864,18226,10,Bon,Non
5346,2206,6183,7,Mauvais,Non
5347,4422,11428,6,Mauvais,Non
5348,1824,17887,4,Mauvais,Non
5349,1888,16499,1,Mauvais,Non
5350,4205,19675,9,Mauvais,Non
5351,4035,12899,2,Mauvais,Non
5352,2493,18331,5,Mauvais,Non
5353,1643,10907,9,Mauvais,Non
5354,4313,15381,2,Bon,Non
5355,2756,13290,9,Bon,Non
5356,1883,14637,10,Mauvais,Non
5357,3726,5890,7,Bon,Oui
5358,2445,10001,2,Bon,Non
5359,2162,16933,6,Bon,Non
5360,2808,4313,5,Bon,Oui
5361,2884,3650,7,Mauvais,Non
5362,4296,10277,3,Mauvais,Non
5363,2033,7718,3,Mauvais,Non
5364,4355,3596,5,Mauvais,Non
5365,3129,19161,3,Mauvais,Non
5366,3159,12924,10,Bon,Non
5367,4896,3873,1,Mauvais,Non
5368,1681,10232,8,Bon,Non
5369,4606,5063,3,Bon,Oui
5370,4669,4591,1,Bon,Oui
5371,1734,13399,5,Mauvais,Non
5372,3391,5853,6,Bon,Oui
5373,3262,4427,3,Bon,Oui
5374,4134,6292,3,Bon,Oui
5375,4301,18815,7,Bon,Non
5376,3485,3476,8,Bon,Oui
5377,2125,5998,1,Bon,Non
5378,4114,12394,6,Bon,Non
5379,4909,3566,4,Bon,Oui
5380,1846,18786,5,Bon,Non
5381,2403,18479,4,Bon,Non
5382,1683,5456,2,Mauvais,Non
5383,2981,12290,6,Bon,Non
5384,1997,16092,7,Bon,Non
5385,3643,15873,6,Mauvais,Non
5386,3259,8315,10,Mauvais,Non
5387,4195,15646,6,Bon,Non
5388,4327,16357,7,Bon,Non
5389,1526,15191,6,Bon,Non
5390,2304,10758,10,Mauvais,Non
5391,4607,5802,1,Mauvais,Non
5392,4688,15397,10,Mauvais,Non
5393,3362,4186,3,Bon,Oui
5394,4965,15048,10,Mauvais,Non
5395,3885,14418,6,Mauvais,Non
5396,3026,16077,3,Bon,Non
5397,2777,2491,5,Bon,Oui
5398,4923,12244,4,Bon,Non
5399,2150,6501,7,Bon,Non
5400,3764,6317,1,Bon,Oui
5401,2466,16812,3,Mauvais,Non
5402,3365,4795,4,Mauvais,Non
5403,3279,5028,2,Bon,Oui
5404,2175,8062,3,Mauvais,Non
5405,4277,6012,1,Bon,Oui
5406,4438,2000,6,Mauvais,Non
5407,2746,8007,9,Bon,Non
5408,3330,11153,6,Mauvais,Non
5409,2181,6260,4,Mauvais,Non
5410,2326,13584,1,Bon,Non
5411,3187,17538,9,Mauvais,Non
5412,2529,17989,7,Bon,Non
5413,3025,8766,3,Bon,Non
5414,2796,17569,5,Bon,Non
5415,4091,12434,8,Mauvais,Non
5416,2054,4916,8,Bon,Non
5417,4037,8782,2,Mauvais,Non
5418,1947,19893,5,Bon,Non
5419,3706,12368,1,Mauvais,Non
5420,4921,15668,7,Bon,Non
5421,3680,12489,1,Bon,Non
5422,2501,15701,2,Mauvais,Non
5423,4029,16510,4,Bon,Non
5424,2934,5051,8,Mauvais,Non
5425,2868,4965,3,Mauvais,Non
5426,2489,2585,1,Bon,Oui
5427,3396,4174,6,Mauvais,Non
5428,2204,16733,8,Bon,Non
5429,4504,2036,4,Mauvais,Non
5430,2124,2554,7,Mauvais,Non
5431,2333,3788,1,Bon,Oui
5432,4395,11013,1,Mauvais,Non
5433,4934,4057,8,Mauvais,Non
5434,2573,17377,7,Bon,Non
5435,4307,8713,4,Bon,Non
5436,2770,9847,5,Mauvais,Non
5437,3823,8081,10,Bon,Non
5438,2681,18604,10,Bon,Non
5439,1930,13850,3,Bon,Non
5440,2905,15323,10,Mauvais,Non
5441,3291,12798,4,Bon,Non
5442,3017,4533,4,Mauvais,Non
5443,3086,3376,6,Mauvais,Non
5444,1509,10317,8,Mauvais,Non
5445,4165,3447,1,Mauvais,Non
5446,4177,6095,2,Bon,Oui
5447,1934,4195,7,Bon,Non
5448,3043,14751,10,Mauvais,Non
5449,1738,15720,4,Mauvais,Non
5450,1619,15565,3,Bon,Non
5451,4013,11319,5,Mauvais,Non
5452,2804,14433,7,Bon,Non
5453,2745,13397,3,Bon,Non
5454,2241,13657,5,Mauvais,Non
5455,4668,11483,6,Bon,Non
5456,2248,18025,9,Bon,Non
5457,4474,16936,9,Mauvais,Non
5458,3182,19125,10,Bon,Non
5459,2146,16022,2,Mauvais,Non
5460,2884,12397,7,Bon,Non
5461,3365,14207,3,Bon,Non
5462,1842,18472,5,Mauvais,Non
5463,2685,15928,8,Bon,Non
5464,4221,7237,1,Bon,Oui
5465,1730,9662,2,Bon,Non
5466,3152,7274,7,Mauvais,Non
5467,2645,15683,7,Mauvais,Non
5468,1512,3951,8,Mauvais,Non
5469,4392,8450,5,Mauvais,Non
5470,2347,16655,3,Mauvais,Non
5471,2028,4346,9,Bon,Non
5472,4260,4104,9,Bon,Oui
5473,4374,3941,8,Mauvais,Non
5474,1630,10737,1,Bon,Non
5475,3344,8735,8,Bon,Non
5476,3052,2924,10,Bon,Oui
5477,4355,6753,2,Mauvais,Non
5478,1600,12116,8,Mauvais,Non
